name annotation description region distance subregion insideDistance exonnumber nexons UTR strand geneL codingL Geneid subjectHits CpG pval p.adjusted
CTNNA1 "NM_001290307 NM_001290309 NM_001290310 NM_001290312 NM_001323982 NM_001323983 NM_001323984 NM_001323985 NM_001323986 NM_001323987 NM_001323988 NM_001323989 NM_001323990 NM_001323991 NM_001323992 NM_001323993 NM_001323994 NM_001323995 NM_001323996 NM_001323997 NM_001323998 NM_001323999 NM_001324000 NM_001324001 NM_001324002 NM_001324003 NM_001324004 NM_001324005 NM_001324006 NM_001324007 NM_001324008 NM_001324009 NM_001324010 NM_001324011 NM_001324012 NM_001324013 NM_001903 NP_001277236 NP_001277238 NP_001277239 NP_001277241 NP_001310911 NP_001310912 NP_001310913 NP_001310914 NP_001310915 NP_001310916 NP_001310917 NP_001310918 NP_001310919 NP_001310920 NP_001310921 NP_001310922 NP_001310923 NP_001310924 NP_001310925 NP_001310926 NP_001310927 NP_001310928 NP_001310929 NP_001310930 NP_001310931 NP_001310932 NP_001310933 NP_001310934 NP_001310935 NP_001310936 NP_001310937 NP_001310938 NP_001310939 NP_001310940 NP_001310941 NP_001310942 NP_001894" "inside exon" inside 57227 "inside exon" 0 11 12 "inside transcription region" + 59638 NA 1495 12809 cg17368114 3.133410360918942e-4 0.9999910461654503
E2F4 "NM_001950 NP_001941 XR_002957786" "inside exon" inside 6392 "inside exon" 0 10 10 3'UTR + 6753 NA 1874 15882 cg07719604 3.1352151087125045e-4 0.9999910461654503
LOC646938 NR_036495 upstream upstream 3549 NA NA NA 2 NA + 1355 NA 646938 53308 cg19837901 3.143285504044192e-4 0.9999910461654503
RBM48 "NM_001363366 NM_001363367 NM_032120 NM_032763 NP_001350295 NP_001350296 NP_115496 NR_026902 XM_005250636 XM_006716149 XP_005250693 XP_006716212" downstream downstream 9419 NA NA NA 4 NA + 9232 NA 84060 64695 cg15898604 3.17692178196232e-4 0.9999910461654503
MEX3B "NM_032246 NP_115622" promoter promoter 43 NA NA NA 2 NA - 4365 NA 84206 65012 cg01578341 3.184877612497708e-4 0.9999910461654503
TMEM42 "NM_144638 NP_653239" "inside exon" inside 3347 "inside exon" 0 3 3 3'UTR + 3746 NA 131616 10618 cg00315487 3.1957993460958e-4 0.9999910461654503
WDR70 "NM_001345998 NM_001345999 NM_018034 NP_001332927 NP_001332928 NP_060504 XM_011514061 XP_011512363" "inside intron" inside 127224 "inside intron" 9974 9 18 "inside transcription region" + 373362 NA 55100 43862 cg12187850 3.1973953783388635e-4 0.9999910461654503
CCDC200 "NM_001363254 NP_001350183 NR_047479" upstream upstream 11507 NA NA NA 5 NA - 7625 NA 100874261 3457 cg27611827 3.2637035304954287e-4 0.9999910461654503
LOC644936 NR_004845 "inside exon" inside 68 "inside exon" -0 1 1 "5' UTR" - 1380 NA 644936 53007 cg15639469 3.280310204140091e-4 0.9999910461654503
PSMA1 "NM_001143937 NM_002786 NM_148976 NP_001137409 NP_002777 NP_683877" "inside intron" inside 119046 "inside intron" -5541 3 11 "inside transcription region" - 138758 NA 5682 47215 cg12437254 3.286973666902944e-4 0.9999910461654503
GNG8 "NM_033258 NP_150283 XM_011527524 XM_017027503 XM_017027504 XM_017027505 XP_011525826 XP_016882992 XP_016882993 XP_016882994" upstream upstream 5744 NA NA NA 2 NA - 606 NA 94235 71210 cg08394510 3.3456849981019517e-4 0.9999910461654503
PRAG1 "NM_001080826 NM_001369759 NP_001074295 NP_001356688 NR_163138" upstream upstream 140664 NA NA NA 5 NA - 63999 NA 157285 13730 cg00428512 3.368816923088354e-4 0.9999910461654503
SRGAP2D "NM_001271887 NR_120535" downstream downstream 34078 NA NA NA 6 NA + 22675 NA 100996712 3585 cg13005634 3.4022070294413873e-4 0.9999910461654503
MIR4262 NR_036226 upstream upstream 186507 NA NA NA 1 NA - 53 NA 100422996 1648 cg01345365 3.4656051660360136e-4 0.9999910461654503
CHRNA10 "NM_001303034 NM_001303035 NM_020402 NP_001289963 NP_001289964 NP_065135 XM_011520234 XP_011518536" "inside intron" inside 791 "inside intron" 658 1 5 "5' UTR" - 5797 NA 57053 47730 cg27192049 3.471336967767758e-4 0.9999910461654503
MCM3AP-AS1 "NR_002776 NR_110565 NR_110566 NR_110567" "inside intron" inside 3623 "inside intron" -2339 2 4 "inside transcription region" + 22446 NA 114044 8032 cg23707091 3.4910591911339477e-4 0.9999910461654503
TAF15 "NM_003487 NM_139215 NP_003478 NP_631961 XM_024450959 XP_024306727" "inside exon" inside 37711 "inside exon" 0 16 16 3'UTR + 37787 NA 8148 63238 cg00563768 3.4965708647835287e-4 0.9999910461654503
ZNF662 "NM_001134656 NM_207404 NP_001128128 NP_997287" "inside exon" inside 12279 "inside exon" 0 4 4 3'UTR + 13167 NA 389114 33040 cg15064753 3.5006706173451916e-4 0.9999910461654503
TMEM222 "NM_032125 NP_115501 NR_037576 NR_037577 NR_037580 XR_001737477" "inside intron" inside 3453 "inside intron" -3206 1 8 "inside transcription region" + 14255 NA 84065 64714 cg26528255 3.501776697541991e-4 0.9999910461654503
BASP1P1 NR_033774 upstream upstream 39071 NA NA NA 1 NA - 1151 NA 646201 53223 cg13690935 3.541822498495928e-4 0.9999910461654503
SEL1L "NM_001244984 NM_005065 NP_001231913 NP_005056 XM_005267988 XM_005267989 XP_005268045 XP_005268046" "inside intron" inside 20203 "inside intron" -7411 4 8 "inside transcription region" - 35051 NA 6400 52100 cg23924753 3.5546532883394544e-4 0.9999910461654503
C2CD4B "NM_001007595 NP_001007596 XM_017022170 XP_016877659" upstream upstream 80677 NA NA NA 2 NA - 1745 NA 388125 32814 cg20377999 3.571891884226934e-4 0.9999910461654503
EHD3 "NM_014600 NP_055415 XM_011532806 XP_011531108" "inside intron" inside 26722 "inside intron" 5435 4 4 "inside transcription region" + 34380 NA 30845 28835 cg06533860 3.579386361528567e-4 0.9999910461654503
HSD17B4 "NM_000414 NM_001199291 NM_001199292 NM_001292027 NM_001292028 NP_000405 NP_001186220 NP_001186221 NP_001278956 NP_001278957" "inside exon" inside 79 "inside exon" 0 1 25 "5' UTR" + 89828 NA 3295 29941 cg22102041 3.5822778287309076e-4 0.9999910461654503
DDAH1 "NM_001134445 NM_001330655 NM_012137 NP_001127917 NP_001317584 NP_036269 XM_005270707 XM_005270710 XM_011541158 XM_017000889 XM_024446130 XP_005270764 XP_005270767 XP_011539460 XP_016856378 XP_024301898" "inside intron" inside 142306 "inside intron" 60108 2 7 "5' UTR" - 259878 NA 23576 21340 cg20705570 3.582554880527755e-4 0.9999910461654503
UNC45A "NM_001039675 NM_001323619 NM_001323620 NM_001323621 NM_017979 NM_018671 NP_001034764 NP_001310548 NP_001310549 NP_001310550 NP_061141 XM_005254963 XM_011521780 XM_017022407 XM_024449983 XM_024449984 XM_024449985 XM_024449986 XP_005255020 XP_011520082 XP_016877896 XP_024305751 XP_024305752 XP_024305753 XP_024305754" promoter promoter 1773 NA NA NA 23 NA + 23913 NA 55898 46339 cg25907437 3.6277725119576937e-4 0.9999910461654503
CTNNA2 "NM_001164883 NM_001282597 NM_001282598 NM_001282599 NM_001282600 NM_001320810 NM_004389 NP_001158355 NP_001269526 NP_001269527 NP_001269528 NP_001269529 NP_001307739 NP_004380 XM_011532555 XM_011532556 XM_011532557 XM_017003403 XM_017003404 XM_017003405 XM_017003406 XM_024452714 XM_024452715 XM_024452716 XP_011530857 XP_011530858 XP_011530859 XP_016858892 XP_016858893 XP_016858894 XP_016858895 XP_024308482 XP_024308483 XP_024308484" "inside intron" inside 244962 "inside intron" -4015 5 12 "inside transcription region" + 343746 NA 1496 12815 cg24745753 3.6370848638355455e-4 0.9999910461654503
ANKRD30BL "NM_001358416 NP_001345345 NR_027019 NR_027020 NR_152415 NR_163999 NR_164000 XR_002959312" upstream upstream 23541 NA NA NA 5 NA - 110378 NA 554226 44965 cg04662828 3.6466907586419874e-4 0.9999910461654503
SLC30A10 "NM_001004433 NM_018713 NP_061183 NR_046437 XM_006711437 XM_017001684 XP_006711500 XP_016857173" downstream downstream 345457 NA NA NA 9 NA - 273220 NA 55532 45074 cg03773196 3.7051050046483125e-4 0.9999910461654503
MIPEPP3 "NR_038939 NR_046461" upstream upstream 34149 NA NA NA 5 NA + 94797 NA 650794 54000 cg05630517 3.7274613392078036e-4 0.9999910461654503
RAPGEF2 "NM_001351724 NM_001351725 NM_001351726 NM_001351727 NM_001351728 NM_014247 NP_001338653 NP_001338654 NP_001338655 NP_001338656 NP_001338657 NP_055062 XM_005263358 XM_005263359 XM_005263360 XM_005263361 XM_006714420 XM_006714422 XM_011532425 XM_011532426 XM_017008856 XM_024454286 XM_024454287 XP_005263415 XP_005263416 XP_005263417 XP_005263418 XP_006714483 XP_006714485 XP_011530727 XP_011530728 XP_016864345 XP_024310054 XP_024310055" downstream downstream 239329 NA NA NA 24 NA + 92303 NA 9693 72254 cg04774481 3.749617330437458e-4 0.9999910461654503
MIR3180-4 NR_037466 promoter promoter 1871 NA NA NA 1 NA - 152 NA 100500852 1807 cg08598108 3.751213375771679e-4 0.9999910461654503
MDH1 "NM_001199111 NM_001199112 NM_001316374 NM_005917 NP_001186040 NP_001186041 NP_001303303 NP_005908" downstream downstream 72561 NA NA NA 8 NA + 18045 NA 4190 35186 cg17023395 3.751461620018495e-4 0.9999910461654503
HFM1 "NM_001017975 NP_001017975 XM_011540849 XM_011540850 XM_011540851 XM_011540852 XM_011540855 XM_011540857 XM_011540859 XM_017000490 XM_017000491 XM_017000492 XM_017000493 XM_017000494 XM_017000495 XM_017000496 XM_024453708 XP_011539151 XP_011539152 XP_011539153 XP_011539154 XP_011539157 XP_011539159 XP_011539161 XP_016855979 XP_016855980 XP_016855981 XP_016855982 XP_016855983 XP_016855984 XP_016855985 XP_024309476 XR_001737008 XR_001737009 XR_001737010" "inside intron" inside 13588 "inside intron" -1681 4 10 "inside transcription region" - 23666 NA 164045 14592 cg22169042 3.774627619410811e-4 0.9999910461654503
TBX19 "NM_005149 NP_005140" "inside intron" inside 38666 "inside intron" 26471 2 7 "5' UTR" + 88409 NA 9095 69292 cg09660501 3.801160051191328e-4 0.9999910461654503
ACTR10 "NM_018477 NP_060947 XM_011536960 XM_011536961 XM_011536962 XM_011536963 XP_011535262 XP_011535263 XP_011535264 XP_011535265" "inside intron" inside 12731 "inside intron" 779 6 13 "inside transcription region" + 35520 NA 55860 46228 cg03891475 3.828606423840229e-4 0.9999910461654503
"NAP1L1" "NM_001307924 NM_001330231 NM_001330232 NM_004537 NM_139207 NP_001294853 NP_001317160 NP_001317161 NP_004528 NP_631946 XM_011538393 XM_017019338 XM_017019339 XM_017019340 XM_024448983 XP_011536695 XP_016874827 XP_016874828 XP_016874829 XP_024304751 XR_001748714 XR_001748715 XR_001748716 XR_001748717 XR_002957328" upstream upstream 52269 NA NA NA 13 NA - 35391 NA 4673 37087 cg27272293 3.846501367375241e-4 0.9999910461654503
HLA-G "NM_001363567 NM_002127 NP_001350496 NP_002118 XM_017010817 XM_017010818 XM_024446420 XP_016866306 XP_016866307 XP_024302188" "inside intron" inside 605 "inside intron" 246 2 8 "inside transcription region" + 4143 NA 3135 29374 cg09430946 3.855508326274046e-4 0.9999910461654503
STK35 "NM_080836 NP_543026 XM_011529174 XP_011527476" downstream downstream 105807 NA NA NA 2 NA + 45784 NA 140901 11620 cg14353853 3.9051302360769197e-4 0.9999910461654503
PCBP1 "NM_006196 NP_006187" "inside exon" inside 1206 "inside exon" 0 1 1 "inside transcription region" + 1749 NA 5093 38826 cg21173157 3.912751344455287e-4 0.9999910461654503
TWF2 "NM_007284 NP_009215" promoter promoter 233 NA NA NA 9 NA - 10557 NA 11344 7900 cg22401002 3.964546548221212e-4 0.9999910461654503
TBC1D3B "NM_001001417 NP_001001417 XM_005257980 XP_005258037" "inside exon" inside 10498 "inside exon" -0 14 14 "inside transcription region" - 10927 NA 414059 34923 cg26871803 3.9682522071081595e-4 0.9999910461654503
TSNARE1 "NM_001291931 NM_001363740 NM_001366901 NM_001366902 NM_001366903 NM_001366904 NM_145003 NP_001278860 NP_001350669 NP_001353830 NP_001353831 NP_001353832 NP_001353833 NP_659440 XM_011516912 XM_011516913 XM_011516914 XM_011516915 XM_011516916 XM_011516917 XM_011516918 XM_011516919 XM_011516920 XM_011516921 XM_011516922 XM_011516923 XM_011516924 XM_017013175 XM_017013176 XM_017013179 XM_017013181 XP_011515214 XP_011515215 XP_011515216 XP_011515217 XP_011515218 XP_011515219 XP_011515220 XP_011515221 XP_011515222 XP_011515223 XP_011515224 XP_011515225 XP_011515226 XP_016868664 XP_016868665 XP_016868668 XP_016868670 XR_928307 XR_928308 XR_928309" "inside intron" inside 155134 "inside intron" -18463 13 14 "inside transcription region" - 191102 NA 203062 16872 cg00622907 3.9684168639575815e-4 0.9999910461654503
SSX3 "NM_021014 NM_175711 NP_066294 XM_011543885 XP_011542187" "inside intron" inside 1401 "inside intron" -31 2 5 "5' UTR" - 5063 NA 10214 4062 cg16893455 3.97986822935904e-4 0.9999910461654503
NT5C2 "NM_001134373 NM_001351169 NM_001351170 NM_001351171 NM_001351172 NM_001351173 NM_001351174 NM_001351175 NM_001351176 NM_001351177 NM_001351178 NM_001351179 NM_001351180 NM_001351181 NM_001351182 NM_001351183 NM_001351184 NM_001351185 NM_001351186 NM_001351187 NM_001351188 NM_001351189 NM_001351190 NM_001351191 NM_001351192 NM_001351193 NM_001351194 NM_001351195 NM_001351196 NM_001351197 NM_012229 NP_001127845 NP_001338098 NP_001338099 NP_001338100 NP_001338101 NP_001338102 NP_001338103 NP_001338104 NP_001338105 NP_001338106 NP_001338107 NP_001338108 NP_001338109 NP_001338110 NP_001338111 NP_001338112 NP_001338113 NP_001338114 NP_001338115 NP_001338116 NP_001338117 NP_001338118 NP_001338119 NP_001338120 NP_001338121 NP_001338122 NP_001338123 NP_001338124 NP_001338125 NP_001338126 NP_036361 XM_005269637 XM_005269645 XM_005269646 XM_006717721 XM_006717723 XM_011539537 XM_017015947 XM_017015966 XM_017015967 XM_017015974 XM_024447901 XM_024447902 XM_024447903 XM_024447904 XM_024447905 XM_024447907 XM_024447908 XM_024447909 XM_024447910 XM_024447911 XP_005269694 XP_005269702 XP_005269703 XP_006717784 XP_006717786 XP_011537839 XP_016871436 XP_016871455 XP_016871456 XP_016871463 XP_024303669 XP_024303670 XP_024303671 XP_024303672 XP_024303673 XP_024303675 XP_024303676 XP_024303677 XP_024303678 XP_024303679" "inside intron" inside 17650 "inside intron" -668 2 18 "5' UTR" - 105289 NA 22978 19166 cg19359316 3.9813126532202816e-4 0.9999910461654503
CD28 "NM_001243077 NM_001243078 NM_006139 NP_001230006 NP_001230007 NP_006130 XM_011512194 XM_011512195 XM_011512197 XP_011510496 XP_011510497 XP_011510499" downstream downstream 53758 NA NA NA 4 NA + 32438 NA 940 71041 cg01206398 3.9820006704226505e-4 0.9999910461654503
ACTN1 "NM_001102 NM_001130004 NM_001130005 NP_001093 NP_001123476 NP_001123477 XM_011537265 XM_011537266 XM_011537267 XM_011537268 XM_017021720 XM_017021721 XM_017021722 XM_017021723 XM_017021725 XM_017021726 XM_017021727 XM_017021728 XP_011535567 XP_011535568 XP_011535569 XP_011535570 XP_016877209 XP_016877210 XP_016877211 XP_016877212 XP_016877214 XP_016877215 XP_016877216 XP_016877217" downstream downstream 113954 NA NA NA 21 NA - 105243 NA 87 67540 cg06506908 3.998876864462656e-4 0.9999910461654503
C19orf81 "NM_001195076 NP_001182005" "inside exon" inside 9806 "inside exon" 0 5 5 3'UTR + 9865 NA 342918 30721 cg19791395 4.0189020670145734e-4 0.9999910461654503
SH2D4B "NM_001145719 NM_207372 NP_001139191 NP_997255 XM_017016236 XP_016871725" downstream downstream 96341 NA NA NA 2 NA + 3564 NA 387694 32738 cg23717539 4.0335452450945543e-4 0.9999910461654503
SPTBN2 "NM_006946 NP_008877 XM_005274192 XM_005274193 XM_006718669 XM_006718671 XM_011545216 XM_011545217 XM_017018174 XM_017018175 XM_017018176 XM_017018177 XM_017018178 XP_005274249 XP_005274250 XP_006718732 XP_006718734 XP_011543518 XP_011543519 XP_016873663 XP_016873664 XP_016873665 XP_016873666 XP_016873667" "inside exon" inside 32625 "inside exon" -0 30 37 "inside transcription region" - 36150 NA 6712 55201 cg12706801 4.0719336839554424e-4 0.9999910461654503
NUTM2F "NM_017561 NP_060031" promoter promoter 1816 NA NA NA 7 NA - 10448 NA 54754 42721 cg02575561 4.0747687392437464e-4 0.9999910461654503
ZNF549 "NM_001199295 NM_153263 NP_001186224 NP_694995" promoter promoter 1241 NA NA NA 4 NA + 13551 NA 256051 22508 cg00288127 4.1256999781816815e-4 0.9999910461654503
ATXN2L "NM_001308230 NM_007245 NM_017492 NM_145714 NM_148414 NM_148415 NM_148416 NP_001295159 NP_009176 NP_059867 NP_663760 NP_680780 NP_680781 NP_680782 XM_005255061 XM_005255062 XM_005255063 XM_005255064 XM_005255065 XM_005255066 XM_005255067 XM_005255068 XM_005255069 XM_005255070 XM_005255071 XM_005255074 XM_005255075 XM_005255076 XM_005255077 XM_006721007 XM_006721008 XM_006721009 XM_006721010 XM_006721011 XM_006721012 XM_011545719 XM_011545722 XM_017022891 XM_017022892 XP_005255118 XP_005255119 XP_005255120 XP_005255121 XP_005255122 XP_005255123 XP_005255124 XP_005255125 XP_005255126 XP_005255127 XP_005255128 XP_005255131 XP_005255132 XP_005255133 XP_005255134 XP_006721070 XP_006721071 XP_006721072 XP_006721073 XP_006721074 XP_006721075 XP_011544021 XP_011544024 XP_016878380 XP_016878381 XR_001751820 XR_243256" "inside exon" inside 7337 "inside exon" 0 7 15 "5' UTR" + 11467 NA 11273 7607 cg00643253 4.1653247503382e-4 0.9999910461654503
SHF "NM_001301168 NM_001301169 NM_001301170 NM_001301171 NM_138356 NP_001288097 NP_001288098 NP_001288099 NP_001288100 NP_612365 XM_006720742 XM_011522174 XM_011522175 XM_011522176 XM_011522177 XM_011522178 XM_017022710 XM_017022711 XP_006720805 XP_011520476 XP_011520477 XP_011520478 XP_011520479 XP_011520480 XP_016878199 XP_016878200" upstream upstream 14528 NA NA NA 8 NA - 33961 NA 90525 69021 cg10451977 4.1896529668360003e-4 0.9999910461654503
NF1 "NM_000267 NM_001042492 NM_001128147 NP_000258 NP_001035957 NP_001121619" "inside intron" inside 7807 "inside intron" -2490 5 17 "inside transcription region" + 44068 NA 4763 37403 cg07917842 4.2085292292517594e-4 0.9999910461654503
FCAR "NM_002000 NM_133269 NM_133271 NM_133272 NM_133273 NM_133274 NM_133277 NM_133278 NM_133279 NM_133280 NP_001991 NP_579803 NP_579805 NP_579806 NP_579807 NP_579808 NP_579811 NP_579812 XM_011526625 XM_017026473 XM_017026474 XP_011524927 XP_016881962 XP_016881963 XR_001756533" promoter promoter 534 NA NA NA 4 NA + 16289 NA 2204 17879 cg13601636 4.275886654926316e-4 0.9999910461654503
HSPA1L "NM_005527 NP_005518" "inside exon" inside 4476 "inside exon" -0 2 2 "inside transcription region" - 6105 NA 3305 29974 cg17353079 4.299661556192135e-4 0.9999910461654503
H3-4 "NM_003493 NP_003484" "inside exon" inside 145 "inside exon" -0 1 1 "inside transcription region" - 480 NA 8290 63847 cg25955816 4.313146076309976e-4 0.9999910461654503
E2F8 "NM_001256371 NM_001256372 NM_024680 NP_001243300 NP_001243301 NP_078956 XM_011520367 XP_011518669 XR_930907" upstream upstream 40079 NA NA NA 13 NA - 17592 NA 79733 61080 cg13870080 4.32023748446664e-4 0.9999910461654503
POLR3K "NM_016310 NP_057394" downstream downstream 7910 NA NA NA 3 NA - 6653 NA 51728 40773 cg07426132 4.3248004325091257e-4 0.9999910461654503
CCND3 "NM_001136017 NM_001136125 NM_001136126 NM_001287427 NM_001287434 NM_001760 NP_001129489 NP_001129597 NP_001129598 NP_001274356 NP_001274363 NP_001751 XM_011514971 XM_011514972 XP_011513273 XP_011513274" "inside exon" inside 113433 "inside exon" -0 4 4 3'UTR - 113939 NA 896 68405 cg17159550 4.3365749307120924e-4 0.9999910461654503
CCL28 "NM_001301873 NM_001301874 NM_001301875 NM_019846 NM_148672 NP_001288802 NP_001288803 NP_001288804 NP_683513 XR_241706 XR_427660 XR_925633" downstream downstream 63868 NA NA NA 4 NA - 35740 NA 56477 46978 cg01215435 4.34533893578157e-4 0.9999910461654503
ISG20 "NM_001303233 NM_001303234 NM_001303235 NM_001303236 NM_001303237 NM_002201 NP_001290162 NP_001290163 NP_001290164 NP_001290165 NP_001290166 NP_002192 NR_130134 XM_005254899 XM_006720488 XM_011521521 XM_017022147 XM_017022148 XP_005254956 XP_006720551 XP_011519823 XP_016877636 XP_016877637" downstream downstream 24333 NA NA NA 4 NA + 16602 NA 3669 31662 cg16971429 4.368105542390874e-4 0.9999910461654503
LPA "NM_005577 NP_005568" upstream upstream 13265 NA NA NA 40 NA - 134892 NA 4018 34224 cg15856829 4.369319082167082e-4 0.9999910461654503
CSRP3 "NM_001369404 NM_003476 NP_001356333 NP_003467" upstream upstream 6077 NA NA NA 7 NA - 28541 NA 8048 62698 cg21787216 4.3758670633672675e-4 0.9999910461654503
IFT172 "NM_015662 NP_056477 XM_005264254 XM_006711986 XM_006711987 XM_011532757 XM_011532758 XM_011532759 XM_011532760 XM_017003790 XM_017003791 XM_017003792 XM_017003793 XM_017003794 XM_017003795 XP_005264311 XP_006712049 XP_006712050 XP_011531059 XP_011531060 XP_011531061 XP_011531062 XP_016859279 XP_016859280 XP_016859281 XP_016859282 XP_016859283 XP_016859284 XR_001738698" "inside exon" inside 42137 "inside exon" -0 42 48 "inside transcription region" - 45331 NA 26160 23978 cg14760498 4.390754453305701e-4 0.9999910461654503
EFCAB7 "NM_032437 NP_115813 XM_005271274 XM_006710976 XM_006710977 XM_011542301 XM_017002548 XP_005271331 XP_006711039 XP_006711040 XP_011540603 XP_016858037 XR_001737486 XR_001737487 XR_001737488 XR_002957809 XR_946779" "inside intron" inside 25621 "inside intron" 2756 8 14 "inside transcription region" + 49351 NA 84455 65473 cg02449698 4.398034393774237e-4 0.9999910461654503
TBC1D4 "NM_001286658 NM_001286659 NM_014832 NP_001273587 NP_001273588 NP_055647 XM_005266603 XM_005266605 XM_006719903 XM_011535331 XM_017020882 XM_017020883 XM_017020884 XP_005266660 XP_005266662 XP_006719966 XP_011533633 XP_016876371 XP_016876372 XP_016876373" downstream downstream 212500 NA NA NA 19 NA - 197441 NA 9882 72965 cg09267402 4.4718963446203225e-4 0.9999910461654503
BDNF-AS "NR_002832 NR_033312 NR_033313 NR_033314 NR_033315" "inside intron" inside 74789 "inside intron" 2622 3 7 "inside transcription region" + 191319 NA 497258 38185 cg00187451 4.4769940723334364e-4 0.9999910461654503
ANKDD1A "NM_182703 NP_874362" promoter promoter 2405 NA NA NA 15 NA + 46940 NA 348094 31034 cg00655656 4.518516021999008e-4 0.9999910461654503
BMS1 "NM_014753 NP_055568 XM_005271846 XM_005271848 XM_011540402 XM_011540403 XP_005271903 XP_005271905 XP_011538704 XP_011538705 XR_001747266 XR_002957049 XR_246522 XR_428728" downstream downstream 85961 NA NA NA 23 NA + 52431 NA 9790 72615 cg24535108 4.539157148131656e-4 0.9999910461654503
HSPA1L "NM_005527 NP_005518" "inside exon" inside 5238 "inside exon" -0 2 2 "inside transcription region" - 6105 NA 3305 29974 cg10029427 4.541858491692871e-4 0.9999910461654503
H2BC18 "NM_001024599 NM_001161334 NP_001019770 NP_001154806" "inside exon" inside 145 "inside exon" -0 1 1 "inside transcription region" - 494 NA 440689 36199 cg10975873 4.5449125658657296e-4 0.9999910461654503
SNRPB "NM_003091 NM_198216 NP_003082 NP_937859" "inside exon" inside 9019 "inside exon" -0 7 7 3'UTR - 9211 NA 6628 54955 cg04435241 4.5492151970886953e-4 0.9999910461654503
B4GALNT1 "NM_001276468 NM_001276469 NM_001478 NP_001263397 NP_001263398 NP_001469 XM_005268773 XM_011538147 XM_017019140 XM_017019141 XM_017019142 XM_024448928 XM_024448929 XP_005268830 XP_011536449 XP_016874629 XP_016874630 XP_016874631 XP_024304696 XP_024304697 XR_002957307" upstream upstream 4240 NA NA NA 6 NA - 3908 NA 2583 22889 cg13891195 4.5533271234352355e-4 0.9999910461654503
CXCR4 "NM_001008540 NM_001348056 NM_001348059 NM_001348060 NM_003467 NP_001008540 NP_001334985 NP_001334988 NP_001334989 NP_003458" upstream upstream 271612 NA NA NA 2 NA - 3806 NA 7852 59612 cg07864144 4.559711399793324e-4 0.9999910461654503
C15orf39 "NM_015492 NP_056307" downstream downstream 14903 NA NA NA 2 NA + 4488 NA 56905 47340 cg00544070 4.575083891115581e-4 0.9999910461654503
QTRT2 "NM_001256835 NM_001256836 NM_001256837 NM_024638 NP_001243764 NP_001243765 NP_001243766 NP_078914 XM_005247769 XM_005247770 XM_006713744 XM_011513137 XM_017007182 XM_017007183 XM_017007184 XP_005247826 XP_005247827 XP_006713807 XP_011511439 XP_016862671 XP_016862672 XP_016862673 XR_001740268 XR_002959585" downstream downstream 46735 NA NA NA 6 NA + 31686 NA 79691 60960 cg22505778 4.5805427736829506e-4 0.9999910461654503
GLUD2 "NM_012084 NP_036216" downstream downstream 150342 NA NA NA 1 NA + 2334 NA 2747 25687 cg26666555 4.640629091801908e-4 0.9999910461654503
GSE1 "NM_001134473 NM_001278184 NM_014615 NP_001127945 NP_001265113 NP_055430 XM_005255859 XM_005255860 XM_005255861 XM_005255863 XM_005255864 XM_005255865 XM_011522965 XM_011522966 XM_017023083 XM_017023084 XP_005255916 XP_005255917 XP_005255918 XP_005255920 XP_005255921 XP_005255922 XP_011521267 XP_011521268 XP_016878572 XP_016878573 XR_001751876 XR_001751877" upstream upstream 125963 NA NA NA 15 NA + 64783 NA 23199 20022 cg26512925 4.6494356437783635e-4 0.9999910461654503
ZNF311 "NM_001010877 NM_001318534 NM_001318535 NM_001350636 NM_001350637 NP_001010877 NP_001305463 NP_001305464 NP_001337565 NP_001337566 XM_005249019 XM_006715067 XM_011514510 XM_011514511 XM_011514512 XM_011514513 XM_011514514 XM_011514516 XM_011514517 XM_011514518 XM_017010756 XM_017010757 XM_017010758 XM_017010760 XM_017010761 XP_005249076 XP_006715130 XP_011512812 XP_011512813 XP_011512814 XP_011512815 XP_011512816 XP_011512818 XP_011512819 XP_011512820 XP_016866245 XP_016866246 XP_016866247 XP_016866249 XP_016866250" downstream downstream 22555 NA NA NA 6 NA - 10499 NA 282890 25953 cg15157214 4.654704275682485e-4 0.9999910461654503
HTR1B "NM_000863 NP_000854" promoter promoter 130 NA NA NA 1 NA - 1172 NA 3351 30067 cg08614481 4.6808892819364913e-4 0.9999910461654503
ZNF701 "NM_001172655 NM_018260 NP_001166126 NP_060730 XM_011527092 XP_011525394 XR_001753715 XR_001753716 XR_001753717 XR_001753718" "inside exon" inside 14410 "inside exon" 0 5 5 3'UTR + 16510 NA 55762 45884 cg01052294 4.704576096143943e-4 0.9999910461654503
FAM30A "NM_014151 NM_014792 NR_026800" upstream upstream 43074 NA NA NA 4 NA + 32550 NA 9834 72765 cg02926222 4.7322914302436577e-4 0.9999910461654503
CAMK4 "NM_001323374 NM_001323375 NM_001323376 NM_001323377 NM_001744 NP_001310303 NP_001310304 NP_001310305 NP_001310306 NP_001735 XR_001742281 XR_001742282 XR_948303" "inside intron" inside 74895 "inside intron" 44874 2 9 "5' UTR" + 260801 NA 814 63228 cg26320701 4.798043732163852e-4 0.9999910461654503
SNORD56B NR_001276 upstream upstream 49233 NA NA NA 1 NA + 70 NA 319139 29711 cg22932101 4.8011228507384245e-4 0.9999910461654503
IPW NR_023915 "inside intron" inside 57212 "inside intron" 185 7 7 "inside transcription region" + 57460 NA 3653 31596 cg05990812 4.812789796097725e-4 0.9999910461654503
